Shashank | 1001 | 4 | 2 | 4 | 3 | 5
Krishna | 1002 | 5 | 3 | 3 | 2 | 1
nnn | 1003 | 3 | 1 | 5 | 4 | 2
nnn | 1004 | 2 | 3 | 4 | 5 | 1
ppp | 1005 | 5 | 4 | 3 | 2 | 1
qqq | 1006 | 4 | 2 | 3 | 4 | 2
sss | 1007 | 5 | 4 | 3 | 2 | 2
ttt | 1008 | 5 | 5 | 5 | 5 | 1
dsa | 1009 | 5 | 3 | 4 | 2 | 1
RRR | 1010 | 1 | 2 | 3 | 4 | 5
aaa | 1011 | 5 | 4 | 3 | 2 | 1
bbb | 1012 | 3 | 5 | 2 | 1 | 4
Nag | 1013 | 1 | 5 | 3 | 2 | 5
srike | 1020 | 5 | 5 | 5 | 5 | 5
Srini | 1090 | 2 | 3 | 4 | 1 | 3
Srini | 1091 | 4 | 3 | 3 | 2 | 1
fffff | 1087 | | 4 | 5 | 3 | 2
ffff | 10002 | | 4 | 4 | 4 | 4
